RAM,4096
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,18,150,7129,4312604672,0,4,0,823.7809669526087,732024713,877483,0,0,722714624,176444,
2,sysbench_disk,100,100,100,19,205,7110,4312604672,0,3,0,825.2210689606543,731241731,877125,0,0,721936384,176254,
3,sysbench_disk,100,100,100,19,148,7108,4312604672,0,4,0,823.9614478769926,729919224,877466,0,0,720613376,175931,
4,sysbench_disk,100,100,100,18,147,7104,4312604672,0,4,0,822.941678803274,728706978,877748,0,0,719400960,175635,
5,sysbench_disk,100,100,100,19,148,7112,4312604672,0,4,0,824.8685216410545,731135449,877171,0,0,721829888,176228,
6,sysbench_disk,100,100,100,25,168,7157,4312604672,0,4,0,822.1867661245093,732765908,877302,0,0,723456000,176625,
7,sysbench_disk,100,100,100,19,519,7473,4312604672,0,3,0,784.3228999195063,730579238,877384,0,0,721272832,176092,
8,sysbench_disk,100,100,100,19,178,7127,4312604672,0,3,0,825.6492211592572,733375749,876663,0,0,724070400,176775,
9,sysbench_disk,100,100,100,19,174,7140,4312604672,0,3,0,820.7969150400224,730398260,877342,0,0,721092608,176048,
10,sysbench_disk,100,100,100,19,181,7088,4312604672,0,3,0,827.3032621304287,730812251,877285,0,0,721506304,176149,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,19,22,6563,4312604672,191,2,0,892.6124975550123,730048684,876918,0,0,720748544,175964,
2,sysbench_disk,100,100,100,19,21,6580,4312604672,189,2,0,888.5771083676269,728635938,877263,0,0,719335424,175619,
3,sysbench_disk,100,100,100,19,19,6440,4312604672,366,2,0,905.9205158075066,727006099,877661,0,0,717705216,175221,
4,sysbench_disk,100,100,100,18,85,6610,4312604672,197,2,0,880.6910024271845,725581039,878009,0,0,716279808,174873,
5,sysbench_disk,100,100,100,19,19,6563,4312604672,201,2,0,893.2582860635697,730576939,876789,0,0,721276928,176093,
6,sysbench_disk,100,100,100,24,25,6481,4312604672,167,2,0,901.7524770017036,727718629,877487,0,0,718417920,175395,
7,sysbench_disk,100,100,100,19,19,6554,4312604672,180,2,0,890.4780951798011,727300939,877589,0,0,718000128,175293,
8,sysbench_disk,100,100,100,19,24,6469,4312604672,184,2,0,903.0663913178295,727988899,877421,0,0,718688256,175461,
9,sysbench_disk,100,100,100,19,17,6558,4312604672,170,2,0,893.991418871387,730617889,876779,0,0,721317888,176103,
10,sysbench_disk,100,100,100,25,89,6681,4312604672,243,2,0,878.9953774038461,731215759,876633,0,0,721915904,176249,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,19,22,6664,4312604672,187,2,0,876.2602474040632,727735141,877488,0,0,718434304,175399,
2,sysbench_disk,100,100,100,19,23,6710,4312604672,150,2,0,869.2716114183231,726928453,877688,0,0,717627392,175202,
3,sysbench_disk,100,100,100,19,79,6823,4312604672,200,2,0,857.9018130511463,729536941,877048,0,0,720236544,175839,
4,sysbench_disk,100,100,100,19,22,6662,4312604672,206,2,0,877.83581273521,728824402,877221,0,0,719523840,175665,
5,sysbench_disk,100,100,100,19,84,6648,4312604672,163,2,0,879.294530095037,728496847,877306,0,0,719196160,175585,
6,sysbench_disk,100,100,100,19,21,6687,4312604672,226,2,0,875.4684319136173,729594307,877038,0,0,720293888,175853,
7,sysbench_disk,100,100,100,24,73,7092,4312604672,251,2,0,862.863598189021,762231430,869065,0,0,752939008,183823,
8,sysbench_disk,100,100,100,19,23,6995,4312604672,175,2,0,874.5107362385321,762464827,869006,0,0,753172480,183880,
9,sysbench_disk,100,100,100,19,24,6946,4312604672,186,2,0,882.4277938501516,763963615,868642,0,0,754671616,184246,
10,sysbench_disk,100,100,100,19,21,7010,4312604672,201,2,0,873.8669031612072,763541857,868748,0,0,754249728,184143,
