RAM,4096
EXPERIMENT,Precopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,18,334,10651,4312604672,0,12,0,843.3250025392645,1120658587,980633,0,0,1109663744,270914,
2,sysbench_disk,100,100,100,19,147,6783,4312604672,0,4,0,815.6173459491424,689379217,887427,0,0,680062976,166031,
3,sysbench_disk,100,100,100,19,141,6786,4312604672,0,4,0,808.8563783064874,683966150,888808,0,0,674648064,164709,
4,sysbench_disk,100,100,100,19,429,7005,4312604672,0,4,0,785.5325782994561,685741085,888575,0,0,676421632,165142,
5,sysbench_disk,100,100,100,18,408,7010,4312604672,0,4,0,784.1278775743707,685102496,888754,0,0,675782656,164986,
6,sysbench_disk,100,100,100,18,667,7437,4312604672,0,4,0,766.2388634586872,710365749,888647,0,0,700997632,171142,
7,sysbench_disk,100,100,100,18,172,6709,4312604672,0,3,0,811.4402092362875,678443086,890280,0,0,669122560,163360,
8,sysbench_disk,100,100,100,19,135,6764,4312604672,0,4,0,815.1373888806523,687037462,888064,0,0,677720064,165459,
9,sysbench_disk,100,100,100,19,499,7196,4312604672,0,4,0,786.1604414100599,705059149,889543,0,0,695693312,169847,
10,sysbench_disk,100,100,100,20,159,6806,4312604672,0,4,0,808.6496598880047,685711815,888513,0,0,676392960,165135,
EXPERIMENT,Postcopy
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,18,22,6081,4312604672,228,2,0,897.5915711693881,680151167,889103,0,0,670838784,163779,
2,sysbench_disk,100,100,100,18,56,6076,4312604672,285,2,0,902.1448702542093,683038142,888398,0,0,673726464,164484,
3,sysbench_disk,100,100,100,19,20,6104,4312604672,329,2,0,897.140518652424,682276414,888584,0,0,672964608,164298,
4,sysbench_disk,100,100,100,19,21,6131,4312604672,234,2,0,894.5549541884817,683328916,888327,0,0,674017280,164555,
5,sysbench_disk,100,100,100,18,21,6070,4312604672,250,2,0,895.4880185062789,677325617,889793,0,0,668012544,163089,
6,sysbench_disk,100,100,100,19,22,6187,4312604672,204,2,0,881.3077989623865,679377212,889292,0,0,670064640,163590,
7,sysbench_disk,100,100,100,23,5,5961,4312604672,483,2,0,888.3388400134726,659258419,894205,0,0,649940992,158677,
8,sysbench_disk,100,100,100,19,75,6045,4312604672,263,2,0,899.873594424162,677718708,889697,0,0,668405760,163185,
9,sysbench_disk,100,100,100,19,72,6169,4312604672,235,2,0,884.6648533333334,679975053,889146,0,0,670662656,163736,
10,sysbench_disk,100,100,100,19,19,6064,4312604672,235,2,0,904.3830418527708,683263367,888343,0,0,673951744,164539,
EXPERIMENT,Hybrid
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,23,24,6250,4312604672,223,2,0,874.62580889674,680675473,888988,0,0,671363072,163907,
2,sysbench_disk,100,100,100,19,22,6248,4312604672,197,2,0,875.6596564456573,681699187,888734,0,0,672387072,164157,
3,sysbench_disk,100,100,100,25,73,6283,4312604672,217,2,0,875.093606903164,684430637,888070,0,0,675119104,164824,
4,sysbench_disk,100,100,100,19,22,6247,4312604672,201,2,0,876.7681721258831,682452725,888550,0,0,673140736,164341,
5,sysbench_disk,100,100,100,19,25,6247,4312604672,232,2,0,878.8143635195889,684045709,888161,0,0,674734080,164730,
6,sysbench_disk,100,100,100,19,22,6343,4312604672,208,2,0,863.2719873497787,682305297,888582,0,0,672993280,164305,
7,sysbench_disk,100,100,100,19,25,6262,4312604672,219,2,0,875.6587743072241,683230809,888367,0,0,673918976,164531,
8,sysbench_disk,100,100,100,19,23,6208,4312604672,203,2,0,884.3204226854095,684021106,888165,0,0,674709504,164724,
9,sysbench_disk,100,100,100,18,22,6278,4312604672,250,2,0,873.871868370607,683693472,888246,0,0,674381824,164644,
10,sysbench_disk,100,100,100,25,71,6259,4312604672,230,2,0,874.8733128007699,681633716,888749,0,0,672321536,164141,
