RAM,8192,,,,,,,,,,,,,,,,,
EXPERIMENT,Precopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,35,182,9896,8607571968,0,4,0,752.3863835,927184189,1885871,0,0,908435456,221786
2,sysbench_disk,100,100,100,35,220,9416,8607571968,0,4,0,728.6561902,854214756,1903630,0,0,835448832,203967
3,sysbench_disk,100,100,100,34,297,9455,8607571968,0,4,0,739.9388269,871144484,1905078,0,0,852332544,208089
4,sysbench_disk,100,100,100,34,824,9965,8607571968,0,4,0,698.8358377,867291601,1905163,0,0,848486400,207150
5,sysbench_disk,100,100,100,34,277,9442,8607571968,0,4,0,737.9642151,867619940,1905166,0,0,848814080,207230
6,sysbench_disk,100,100,100,35,253,9606,8607571968,0,4,0,727.7828482,870475428,1905062,0,0,851664896,207926
7,sysbench_disk,100,100,100,34,249,9564,8607571968,0,5,0,733.7002183,873794368,1904018,0,0,854986752,208737
8,sysbench_disk,100,100,100,34,253,9482,8607571968,0,4,0,739.5055555,873130324,1904110,0,0,854323200,208575
9,sysbench_disk,100,100,100,35,300,9499,8607571968,0,4,0,733.5642485,867580529,1905347,0,0,848773120,207220
10,sysbench_disk,100,100,100,34,795,10050,8607571968,0,4,0,695.9411334,871092542,1904776,0,0,852283392,208077
EXPERIMENT,Postcopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,34,19,7993,8607571968,371,2,0,831.3433054,826971534,1904130,0,0,808255488,197328
2,sysbench_disk,100,100,100,34,23,8049,8607571968,343,2,0,826.4012467,827839588,1903918,0,0,809123840,197540
3,sysbench_disk,100,100,100,35,25,8013,8607571968,413,2,0,832.4348899,830034595,1903382,0,0,811319296,198076
4,,,,,,,,,,,,,,,,,,
5,sysbench_disk,100,100,100,34,20,4463,8607571968,284,2,0,726.4358131,402062021,2007893,0,0,383242240,93565
6,sysbench_disk,100,100,100,34,22,7721,8607571968,471,2,0,864.1011078,830181967,1903346,0,0,811466752,198112
7,sysbench_disk,100,100,100,34,19,8017,8607571968,360,2,0,826.4883838,824620957,1904704,0,0,805904384,196754
8,sysbench_disk,100,100,100,34,24,7878,8607571968,368,2,0,840.516052,824014858,1904852,0,0,805298176,196606
9,sysbench_disk,100,100,100,40,23,7952,8607571968,379,2,0,837.4824105,828159005,1903840,0,0,809443328,197618
10,sysbench_disk,100,100,100,34,19,7959,8607571968,354,2,0,837.5348815,829571831,1903495,0,0,810856448,197963
EXPERIMENT,Hybrid,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk,100,100,100,38,22,8190,8607571968,459,2,0,814.5791816,829944671,1903416,0,0,811229184,198054
2,sysbench_disk,100,100,100,34,72,8091,8607571968,333,2,0,820.7682065,826504807,1904253,0,0,807788544,197214
3,sysbench_disk,100,100,100,40,18,8079,8607571968,399,2,0,827.0969494,831017620,1903155,0,0,812302336,198316
4,sysbench_disk,100,100,100,34,24,8181,8607571968,343,2,0,816.8242101,831721872,1902982,0,0,813006848,198488
5,sysbench_disk,100,100,100,34,19,8167,8607571968,325,2,0,816.1597708,829617016,1903494,0,0,810901504,197974
6,sysbench_disk,100,100,100,43,24,8092,8607571968,345,2,0,824.0221523,828957775,1903661,0,0,810242048,197813
7,sysbench_disk,100,100,100,34,21,8188,8607571968,390,2,0,814.532155,830100376,1903381,0,0,811384832,198092
8,sysbench_disk,100,100,100,35,21,8188,8607571968,424,2,0,812.3255136,827749810,1903951,0,0,809033728,197518
9,sysbench_disk,100,100,100,35,26,8267,8607571968,451,2,0,804.1279718,827336192,1904057,0,0,808620032,197417
10,sysbench_disk,100,100,100,35,18,8211,8607571968,471,2,0,811.1422016,828875925,1903676,0,0,810160128,197793
