RAM,1024,,,,,,,,,,,,,,,,,
EXPERIMENT,Precopy,,,,,,,,,,,,,,,,,
Experiment,Disk,Destination-Ready,start-sysbench,vm_stop,setup-time,downtime,total-time,ram-total,ram-postcopy-requests,ram-dirty-sync-count,ram-remaining,ram-mbps,ram-transferred,ram-duplicate,ram-dirty-pages-rate,ram-skipped,ram-normal-bytes,ram-normal
1,sysbench_disk22,100,100,100,9,157,6117,1091379200,0,4,0,930.7482934,710400963,94573,0,0,708165632,172892
2,sysbench_disk22,100,100,100,8,490,7019,1091379200,0,4,0,892.0276982,781525327,81569,0,0,779268096,190251
3,sysbench_disk22,100,100,100,8,241,6727,1091379200,0,4,0,932.721661,783144176,82234,0,0,780877824,190644
4,sysbench_disk22,100,100,100,8,428,6910,1091379200,0,4,0,901.1870658,777273952,82522,0,0,775016448,189213
5,sysbench_disk22,100,100,100,9,274,6848,1091379200,0,4,0,934.5475994,798695922,82876,0,0,796393472,194432
6,sysbench_disk22,100,100,100,8,144,6663,1091379200,0,4,0,934.4082116,777085384,82546,0,0,774828032,189167
7,sysbench_disk22,100,100,100,8,617,7195,1091379200,0,5,0,890.9138556,800149278,82936,0,0,797843456,194786
8,sysbench_disk22,100,100,100,8,164,6681,1091379200,0,4,0,933.6392819,778546669,82575,0,0,776286208,189523
9,sysbench_disk22,100,100,100,8,179,6668,1091379200,0,4,0,933.8191928,777179291,82949,0,0,774918144,189189
10,sysbench_disk22,100,100,100,9,183,6678,1091379200,0,4,0,933.6372806,778077941,82479,0,0,775819264,189409
11,sysbench_disk22,100,100,100,8,209,6742,1091379200,0,4,0,927.2212403,780263032,82218,0,0,778002432,189942
12,sysbench_disk22,100,100,100,8,162,6702,1091379200,0,4,0,933.6061811,780969695,82297,0,0,778706944,190114
13,sysbench_disk22,100,100,100,8,207,6701,1091379200,0,4,0,933.3411779,780631366,82560,0,0,778366976,190031
14,sysbench_disk22,100,100,100,8,168,6662,1091379200,0,4,0,934.0903565,776704207,83057,0,0,774443008,189073
15,sysbench_disk22,100,100,100,8,189,6740,1091379200,0,4,0,934.5256292,786178100,81438,0,0,783912960,191385
16,sysbench_disk22,100,100,100,8,389,6933,1091379200,0,4,0,901.7172609,780323527,82097,0,0,778063872,189957
